sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
52,Living Roots,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Dining tables, beds, coffee tables, TV units, storage furniture",https://livingroots.in/pages/about-us,Collated Sheet,,,,,,,,,,,,,,,,Products look basic and for the mass
53,LLM,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://llmapl.in/,Collated Sheet,,,,,,,,,,,,,,,,Good website - degrowth
54,Luckyglass,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Drinking glasses, glass bowls, storage jars, serving ware, kitchen glassware",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– thailand)
55,Luminarc,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Glass dinnerware, bowls, plates, drinkware, serving ware",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– france – arc international)
56,M & R Décor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, vases, tabletop décor",https://www.mnrdecor.com/,Collated Sheet,,,,,,,,,,,,,,,,Partnership Firm- Mohua and Reema
57,M A Jacob,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, pillow covers, curtains, home linen",https://majacob.com/,Collated Sheet,1-5 cr,,,,,,,,,,,,,,,1-5 cr
58,Mae,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Scented candles, reed diffusers, aroma oils, wax melts, fragrance accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products are not relevant
59,Magnus,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, frying pans, kadai, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,The products are basic. Employee count is quite low
60,Mahaware,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Brass utensils, copper utensils, stainless steel cookware, traditional kitchenware",-,Collated Sheet,Products are quite basic and the annual turnover is inr 1 | 5 - 5 Cr,,,,,,,,,,,,,,,Products are quite basic and the annual turnover is inr 1.5 - 5 Cr
61,Majik,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Decorative lamps, pendant lights, wall lights, table lamps, lighting accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
62,Malaika Appliances,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, gas stoves, chimneys, small kitchen appliances",http://malaikaappliances.com,Collated Sheet,,,,,,,,,,,,,,,,"Not able to access the website, last post on insta 2019"
63,Malbro Appliances,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, gas stoves, electric kettles, chimneys, small kitchen appliances",https://r.search.yahoo.com/_ylt=Awrx.tAQBDBoKwIA_1W7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1749186833/RO=10/RU=https%3a%2f%2fmalbro.in%2f/RK=2/RS=0Ktv2E4RHITduZgooA_dL9hutVI-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
64,Mars Kitchen India,Screened-Out,Home Storage & Organization,Kitchen,Modular Kitchen Accessories,"Kitchen organizers, pull-out baskets, cutlery trays, pantry units, kitchen hardware",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
65,Maspar,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, duvet covers, curtains, towels, cushion covers",https://www.maspar.com/,Collated Sheet,,,,,,,,,,,,,,,,Mahajan Overseas launched brand Maspar in 2002. The website and catalogue is pretty nice.
66,Master,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://masterindia.in/collections/new-arrivals,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic. The employee count is quite low
67,Master Cook,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, fry pans, kadai, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"Can explore, 6k followers on instagram, poor website"
68,Matrix Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, blinds, sofa fabrics, furnishing textiles",https://matrixfurnishing.wordpress.com/,Collated Sheet,,,,,,,,,,,,,,,,"1 store in Mumbai. Manufacturer of bedhsheets,cushions,curtains"
69,Maxstar Appliance Ltd,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances","https://maxstarappliances,com/",Collated Sheet,,,,,,,,,,,,,,,,Products and the website are good. The company offers both kitchen and home appliances
70,McCoy Appliances,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Kitchen chimneys, gas hobs, cooktops, built-in ovens, kitchen sinks",https://mccoyindia.in/contact/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers large appliances
71,Mega Kitchen System,Screened-Out,Home Storage & Organization,Kitchen,Modular Kitchen Accessories,"Modular kitchen accessories, storage systems, pull-outs, pantry units, kitchen fittings",https://megakitchensystem.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
72,Mehta Industries,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://www.coolmaxcooler.com/?fbclid=PAZXh0bgNhZW0CMTEAAaeGwgf-nGCJkKQ8mGekAg740EKT3heOLjVYXrAK-DATbXthx_xmKS-52iGn_g_aem_KPg4tdtem8og272zSa6maw,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since products are quite basic and scale is low
73,Melina,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, vases, decorative accents, tabletop décor",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant
74,Melodi,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, pillow covers, quilts, curtains, home linen",-,Collated Sheet,Annual turnover is inr 1,,,,,,,,,,,,,,,Website not available. Products on instagram are quite basic. Annual turnover is inr 1.5-5cr
75,Meroalay,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Pendant lights, wall lights, table lamps, ceiling lights, decorative lighting",https://meroalay.com/,Collated Sheet,,,,,,,,,,,,,,,,Does rugs & cushion covers
76,Meyer,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, hard anodized cookware, frying pans, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"(MNC: global cookware company, us-based)"
77,Femora,Rejected-CH,Cookware & Kitchenware,Kitchen,Bakeware,"Bakeware, cookware, food storage containers, kitchen tools, serving accessories, glassware",https://femora.in,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,Product fit,"BPV rejected
———
Wide range of products and good quality. not funded . relevant"
78,Mikara,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, air fryers, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are decent
79,Milcent Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Flour mills, mixer grinders, domestic atta chakki, grain mills",https://milcentappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers only Atta makers
80,Milton Distributor,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Water bottles, insulated flasks, lunch boxes, casseroles, food storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Skip because already highly established
81,Minimal Indiian,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, planters, wall décor, table décor, home accents",https://www.minimalindian.com/,Collated Sheet,,,,,,,,,,,,,,,,
82,Minit Engineers,Screened-Out,Home Appliances,Small Appliances,Home Appliances,"Commercial kitchen equipment, food preparation equipment, stainless steel kitchen systems",https://r.search.yahoo.com/_ylt=Awr1SgI4ODBo9wEAxTa7HAx.;_ylu=Y29sbwNzZzMEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1749200185/RO=10/RU=https%3a%2f%2famirthaa.com%2f/RK=2/RS=sTWAmm2nkOipeChT66.NBFOldS0-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the compnay isn't profitable
83,Mod Kitchen Equipment,Screened-Out,Home Storage & Organization,Kitchen,Modular Kitchen Accessories,"Stainless steel kitchen equipment, cabinets, work tables, storage systems",https://www.modequipment.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial kitchen equipments
84,Monex Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
85,Morphy Richards,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Mixer grinders, toasters, OTGs, coffee makers, electric kettles, irons, vacuum cleaners",-,Collated Sheet,,,,,,,,,,,,,,,,MNC(uk-based)
86,Mukesh Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, sofa fabrics, blinds, furnishing textiles",https://www.mukeshfurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,Directors - Mukesh & Rishab Narang
87,Omega,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, chimneys, kitchen appliances",https://omegaexclusive.com/collections/shop-all,Collated Sheet,,,,,,,,,,,,,,,,Website not available. The company has 52k followers on instagram and the products are decent
88,Naksh,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, sculptures, vases, tabletop décor",https://naksh.co/,Collated Sheet,,,,,,,,,,,,,,,,
89,Naturepac,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Bagasse tableware, paper food containers, eco-friendly plates, bowls, takeaway packaging",-,Collated Sheet,,,,,,,,,,,,,,,,Products are not relevant
90,Nautica,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, duvet covers, towels, pillow covers",https://www.nautica.com/,Collated Sheet,,,,,,,,,,,,,,,,Brand of Bianca Homes
91,Navum,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accents, wall décor, planters, vases, tabletop décor",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
92,Nayasa,Rejected-Promoter,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, water bottles, kitchen organizers, household plasticware",https://nayasa.com/,Collated Sheet,,,,,,,,,,,,,,,Not looking to sell,"Website is good and the products look decent, founder not interested"
93,Nendle,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Table lamps, pendant lights, wall lights, ceiling lights, decorative lighting",https://nendlehomefurnishing.com/,Collated Sheet,,,,,,,,,,,,,,,,
94,Neptune House Furnishings,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Curtains, upholstery fabrics, bedsheets, cushion covers, furnishing fabrics",https://neptunefurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,
95,Nihaar Equipment,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Stainless steel kitchen equipment, work tables, storage racks, commercial kitchen equipment",https://www.nihaarequipment.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
96,Nikitasha Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances",https://www.nikitasha.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
97,Nirmal Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, sofa fabrics, blinds, furnishing textiles",https://nirmals.com/,Collated Sheet,,,,,,,,,,,,,,,,
98,Pexpo,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Drinkware,"Stainless steel bottles, insulated flasks, lunch boxes, tumblers, food jars",PEXPO | Official Website | Buy Stainless Steel Products Online – pexpo,Collated Sheet,,,,,,,,,,,,,,,Valuation,"Website and scale is good, Founder not interested"
99,Novelty Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, comforters, cushion covers, upholstery fabrics",,Collated Sheet,,,,,,,,,,,,,,,,Curtain store in Mumbai
