sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
839,Bombay Kookware,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"Available on amazon, no official website. products are basic and scale is also unknown"
528,BSB Home,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillow covers, cushions, home linen",https://www.bsbhome.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are mass
581,Cloth Fusion,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, cushion covers, table runners, home linen",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Do not do typical bedsheets, mainly focussed on quilts, throws"
594,Decomizer,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall stickers, wall art, mirrors, decorative panels, home décor accessories",https://decomizer.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Does bedsheets, comforters, cushion covers with decent rating on amazon"
456,Digismart Electricals,To-Contact,Home Appliances,Small Appliances,Fans,"Induction cooktops, electric kettles, mixer grinders, fans, home electrical appliances",https://digismartelectricals.com/,Current focus sheet (CH tracker file),,,,,,,,,,,,,,,,To find Point of contact
717,Finautica (Nautical Overseas),To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Nautical décor, compasses, ship wheels, telescopes, lanterns, decorative accessories",https://finautica.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Offers only lighting products. Products look good. Can be reached outl. But looks small scale
941,Florida- Dress your Home,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, dohars, comforters, pillow covers, quilts, bedding",https://floridadecor.in/,Collated Sheet,,,,,,,,,,,,,,,,"Manufactures of bedsheets,dohars. Website says available on Amazon,Myntra and Pepperfry but no products available"
741,Go Hooked,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Macramé wall hangings, mirrors, baskets, planters, decorative accessories",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,Products are quite basic and however offer wide range of prodcuts - Home Decor/ Home Organizers/ Home Needs/ Lawn &Garden
5,Hazel (Value Retail),To-Contact,Cookware & Kitchenware,Kitchen,Kitchen Tools & Gadgets,"Presure cookers, kitchen tools, cooking pots, frying pans",https://hazelkitchenware.com/,,,,,,,,,,,,,,,,,Company is into cookware & kitchenware
718,Homemates,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, blankets, comforters, pillow covers, curtains, home furnishing products",https://homemates.co/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Offers only wallpaper products. Products look good. Can be reached out
465,HomePuff Cookware,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Triply cookware, stainless steel cookware, fry pans, saucepans, kadai, cookware sets",https://homepuff.com,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,
751,Impressions,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Canvas paintings, framed artwork, wall décor, decorative prints",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,The website and products are good
467,Indian Art Villa,To-Contact,Cookware & Kitchenware,Kitchen,Drinkware,"Copper bottles, copper tumblers, brass utensils, dinnerware, puja articles, serveware",https://indianartvilla.com,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"skip
———
Copper, Brass products, to reach out"
752,IndianShelf,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Cabinet knobs, wall hooks, mirrors, furniture hardware, decorative accessories",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,Products and scale is decent
527,Jd Fresh,To-Contact,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Wardrobe organizers, bathroom organizers, storage organizers, personal grooming appliances, home utility products",https://www.jdfresh.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Wadrobe organizer, Bathroom organizers & accessories and personal grooming appliances, toys."
11,Jensons,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, blankets, cushion covers",https://www.amazon.in/stores/page/8D8D63E3-BF93-43D1-9A62-5608DFBCD579?ingress=2&lp_context_asin=B0GFDVCMVK&visitId=98800ac6-9f41-46f5-9de2-30746b7dafb2&store_ref=bl_ast_dp_brandlogo_sto&ref_=ast_bln,Collated Sheet,,,,,,,,,,,,,,,,Stainless steel products
1.0,Joyo,To-Contact,Home Storage & Organization,Decor & Home Improvement,Laundry Organization,"Laundry baskets, stools, dustbin & drums",https://www.amazon.in/stores/page/2F44E688-EDB9-49B4-A212-A27377228DA2?ingress=0&visitId=8ee26409-93ec-43ba-a032-17750869796d,,,,,,,,,,,,,,,,,"Company does a diverse set of products like Laundry baskets, stools, dustbin & drums"
470,JVL classicware,To-Contact,Home Storage & Organization,Decor & Home Improvement,Plastic Houseware,"Stainless steel cookware, dinner sets, serveware, storage containers, kitchen accessories",https://jvlclassicware.com/,Current focus sheet (CH tracker file),Vikas sir has spoken 30-40 cr scale,,,,,,,,,,,,,,,Vikas sir has spoken 30-40 cr scale
546,Loreto - A Quality Linen,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, pillow covers, comforters, quilts, duvet covers, home linen",https://www.loretoworld.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Large focus on bedsheets but also do blankets, comforters & pillow covers in the mass premium segment"
475,Macclite,To-Contact,Home Appliances,Small Appliances,Small Kitchen Appliances,"Induction cooktops, electric kettles, mixer grinders, kitchen electrical appliances",https://macclite.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Company does non stick, cast iron cookware and silicone kitchen utensils"
654,NH10 DESIGNS,To-Contact,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Mug stands, dish racks, kitchen organizers, storage racks, utility stands",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Company mainly does mugs & kitchen dish/kitchen equipment stands. scale looks small
322,Nova Home Appliances,To-Contact,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, trimmers, irons, electric kettles, induction cooktops, home appliances",https://www.novaindia.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are good. The company offers both home and kitchen appliances. It also offers personal grooming appliances
486,OmiChef Cookware LLP,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, saucepans, cookware sets",https://www.omichef.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,Reached out to promoter. Yet to get back
764,Pieces and Accents,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative objects, sculptures, vases, mirrors, tabletop décor, home accents",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,The products and the website is good
495,Pringle Homeware,To-Contact,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, tableware, kitchen accessories, serving ware, storage products",https://pringle.in/,Current focus sheet (CH tracker file),,,,,,,,,,,,,,,,To reach out
498,Ratna Home Products,To-Contact,Home Storage & Organization,Decor & Home Improvement,Plastic Houseware,"Stainless steel kitchenware, storage containers, cookware, serving products",https://www.ratnahomeproducts.in/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,WA msg dropped
2,Rioware,To-Contact,Cookware & Kitchenware,Kitchen,Serveware & Tableware,,https://rioware.in/,,,,,,,,,,,,,,,,,"Company does home storage, drinkware & serveware"
502,Rosh Cookwares,To-Contact,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, fry pans, kadai, cookware sets",https://roshcookwares.in/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,Contact details not available
503,Rudra Kitchen World Pvt Ltd,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, dinner sets, serving ware, storage containers",https://rudrakitchenworld.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,"No contact number available, e-mail sent through connect IB"
653,SATVIKAYA,To-Contact,Cookware & Kitchenware,Kitchen,Drinkware,"Copper bottles, copper tumblers, copper jugs, wellness drinkware",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Limited SKUs (6 on amazon). Available on Amazon, FK & Meesho
No own website. scale looks small"
508,Shri & Sam,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, frying pans, kadai, cookware sets",https://shriandsam.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,to take update from ST
696,Shri Mahal Antiques,To-Contact,Cookware & Kitchenware,Kitchen,Drinkware,"Stainless steel bottles, insulated flasks, lunch boxes, tumblers, food jars","https://www.flipkart.com/home-lighting/decor-lighting-accessories/ceiling-lamps/shri-mahal-antiques~brand/pr?sid=search.flipkart.com,jhg,6w8,rws",CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Company has no website. Offers lighting products on flikpkart (439 SKUs). Products look very good. Price range 500- 10k
772,Simply Home,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, quilts, comforters, blankets, curtains, pillow covers",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,Website and the products are good
773,Stellar Home,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Bedsheets, cushions, curtains, rugs, throws, home linen",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,"Products are decent on ajio, but not available on linkedin or VCC"
513,Swastha Cookware,To-Contact,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron tawa, kadai, skillet, grill pan, dosa tawa, appam pan, cookware",https://swasthacookware.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Company does cast iron cookware, 6k + followers on instagram"
777,The Carpet Cellar,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Handwoven carpets, rugs, runners, floor coverings, dhurries",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,"Amazing designs, Artistic preservation, luxury buyer market"
523,Visalam Cookware,To-Contact,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Non-stick cookware, pressure cookers, induction cookware, frying pans, kadai, cookware sets",https://visalamcookware.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Based out of Chennai. Aluminium & Steel products
Products : Cookware (Non-stick), Pressure Cooker, Induction Cookware"
308,WARMEO,To-Contact,Home Appliances,Small Appliances,Fans,"Room heaters, convection heaters, fan heaters, heating appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. Company has 13k followers on instagram
782,80s Cookware,Reached-NoResponse,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, frying pans, kadai, cookware sets",https://80scookware.com/,Collated Sheet,,,,,,,,,,,,,,,,Website is good
617,Art Street,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Canvas paintings, framed artwork, wall décor, posters, decorative accents",https://artstreet.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Good wall products but scale is small
697,Capio Art,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Pendant lights, chandeliers, wall lights, table lamps, floor lamps",https://www.amazon.in/stores/CAPIOART/page/DE9BB146-0303-4497-8B6B-8EF5BF49F7A2,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Company has no website. Diverse product range covering home decor and pooja thalis. Available on Amazon, Flipkart, Myntra and Jio Mart. 
To be reached out. Decent Scale"
742,H&H,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, vases, sculptures, tabletop décor, home accents",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,Website not available
988,House this,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, sculptures, home accessories",https://www.housethisindia.com/pages/about-us,Collated Sheet,,,,,,,,,,,,,,,,
552,Impex,Reached-NoResponse,Home Appliances,Small Appliances,Fans,"Induction cooktops, mixer grinders, air fryers, pressure cookers, electric kettles, fans",https://impexstore.com/,CH Master File - Mainsheet Shortlist_New,"Premium products, good scale, 4% PAT margin",,,,,,,,,,,,,,,"Premium products, good scale, 4% PAT margin"
759,Ireka Homes,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Furniture, storage furniture, home décor accessories, shelving, utility furniture",,CH Master File - Décor Oct-30,However the annual turnover is quite less,,,,,,,,,,,,,,,Website and products are decent. However the annual turnover is quite less
539,Ishro Home,Reached-NoResponse,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, dohars, blankets, cushion covers, curtains",https://ishrohome.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,
478,Mr. Cook,Reached-NoResponse,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Non-stick cookware, hard anodized cookware, fry pans, kadai, casseroles, cookware sets",,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,WA msg dropped
117,Padmini Appliances,Reached-NoResponse,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Kitchen chimneys, gas stoves, cooktops, induction cooktops, kitchen appliances",https://www.padminiappliances.com/?srsltid=AfmBOopCLPq_SqoIDUCrfDMWs70w7uuqnRplSnxrgGdnsElKb9uaKxeX,Collated Sheet,,,,,,,,,,,,,,,,Products and website are quite good. The company offers both kitchen and home appliances. Founder not interested
141,R R Decor,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, sculptures, tabletop décor",https://www.rrdecor.com/index.php,Collated Sheet,,,,,,,,,,,,,,,,
770,Sashaa World,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative accessories, candle holders, wall décor, sculptures, mirrors, planters",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,Products and the website are good
768,The Wishing Chair,Reached-NoResponse,Soft Furnishings & Home Decor,Soft Furnishings,Cushions & Throws,"Home décor, cushions, candles, planters, tableware, decorative accessories",,CH Master File - Décor Oct-30,revenue: FY24 - INR 5Cr,,,,,,,,,,,,,,,"Products are good
revenue: FY24 - INR 5Cr"
414,Vaaree,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, lighting, planters, decorative accessories, soft furnishings",https://vaaree.com/,Collated sheet,,,,,,,,,,,,,,,,"Website is very good, wide range of products, cover most sub-sectors in kitchen & home"
